iter	Passed	Remaining
0	253	126405
1	525	130913
2	919	152379
3	1271	157625
4	1666	165006
5	2078	171133
6	2452	172741
7	2793	171773
8	3112	169784
9	3437	168430
10	3727	165700
11	4107	167058
12	4498	168520
13	4903	170223
14	5296	171248
15	5629	170304
16	5986	170080
17	6363	170393
18	6853	173509
19	7258	174207
20	7593	173200
21	7934	172385
22	8316	172481
23	8666	171885
24	9079	172502
25	9514	173448
26	9884	173170
27	10275	173214
28	10707	173905
29	11118	174196
30	11456	173322
31	11793	172487
32	12125	171598
33	12449	170632
34	12802	170093
35	13127	169199
36	13474	168618
37	13795	167727
38	14174	167553
39	14561	167456
40	14959	167476
41	15344	167331
42	15720	167073
43	16112	166980
44	16540	167246
45	17035	168130
46	17412	167822
47	17764	167283
48	18138	166944
49	18489	166408
50	18932	166678
51	19358	166778
52	19732	166421
53	20131	166268
54	20500	165869
55	20895	165669
56	21233	165023
57	21530	164080
58	21891	163627
59	22229	163013
60	22586	162551
61	22913	161873
62	23287	161531
63	23698	161444
64	24108	161341
65	24451	160784
66	24775	160114
67	25197	160078
68	25532	159484
69	25944	159371
70	26249	158604
71	26665	158513
72	27146	158789
73	27527	158468
74	27948	158377
75	28380	158330
76	28714	157742
77	29107	157478
78	29522	157330
79	29982	157405
80	30321	156849
81	30687	156429
82	31077	156137
83	31401	155512
84	31703	154788
85	32195	154987
86	32513	154343
87	32905	154056
88	33364	154076
89	33806	154007
90	34148	153479
91	34497	152989
92	34782	152221
93	35212	152087
94	35579	151680
95	35977	151404
96	36341	150985
97	36718	150620
98	37077	150183
99	37531	150124
100	38005	150140
101	38377	149746
102	38765	149416
103	39162	149119
104	39552	148793
105	39898	148303
106	40254	147851
107	40573	147265
108	41002	147083
109	41406	146805
110	41811	146527
111	42198	146187
112	42523	145634
113	42908	145285
114	43253	144806
115	43601	144334
116	43995	144021
117	44315	143460
118	44679	143049
119	45011	142537
120	45357	142069
121	45704	141608
122	46079	141234
123	46465	140896
124	46820	140460
125	47188	140068
126	47471	139425
127	47801	138923
128	48105	138350
129	48476	137970
130	48771	137378
131	49122	136946
132	49432	136404
133	49714	135788
134	50061	135352
135	50428	134969
136	50822	134662
137	51233	134394
138	51619	134060
139	51964	133623
140	52361	133317
141	52796	133105
142	53189	132788
143	53564	132423
144	53995	132196
145	54400	131902
146	54738	131446
147	55129	131119
148	55478	130691
149	55926	130496
150	56287	130094
151	56773	129982
152	57084	129465
153	57504	129197
154	57925	128930
155	58229	128403
156	58656	128148
157	59049	127815
158	59462	127526
159	59882	127251
160	60209	126776
161	60582	126400
162	60932	125977
163	61300	125591
164	61649	125166
165	62037	124822
166	62396	124418
167	62817	124139
168	63193	123768
169	63604	123467
170	63888	122920
171	64237	122498
172	64539	121991
173	65017	121813
174	65387	121433
175	65764	121066
176	66153	120721
177	66516	120326
178	66797	119787
179	67303	119650
180	67660	119247
181	68085	118962
182	68477	118620
183	68918	118360
184	69240	117896
185	69552	117415
186	69953	117088
187	70351	116754
188	70728	116383
189	71193	116157
190	71642	115902
191	71954	115426
192	72339	115069
193	72757	114761
194	73186	114471
195	73535	114055
196	73941	113727
197	74275	113288
198	74651	112914
199	74973	112459
200	75323	112048
201	75630	111572
202	75992	111181
203	76741	111350
204	77349	111308
205	77982	111294
206	78518	111139
207	79350	111395
208	79920	111277
209	80395	111022
210	80877	110775
211	81306	110454
212	81653	110021
213	82058	109666
214	82374	109193
215	82817	108890
216	83154	108445
217	83535	108060
218	83921	107679
219	84343	107345
220	84782	107033
221	85112	106581
222	85473	106171
223	85929	105877
224	86303	105481
225	86691	105103
226	87105	104756
227	87647	104561
228	88042	104190
229	88365	103733
230	88652	103236
231	89011	102824
232	89317	102351
233	89620	101875
234	89948	101431
235	90335	101053
236	90744	100699
237	91168	100361
238	91498	99921
239	91885	99543
240	92338	99235
241	92773	98907
242	93134	98499
243	93533	98133
244	93904	97736
245	94224	97288
246	94557	96854
247	94851	96381
248	95289	96054
249	95681	95681
250	96106	95340
251	96537	95004
252	96918	94619
253	97422	94354
254	97713	93881
255	98062	93466
256	98421	93060
257	98749	92625
258	99076	92190
259	99451	91801
260	99759	91350
261	100050	90885
262	100450	90520
263	100751	90065
264	101162	89710
265	101536	89321
266	101918	88939
267	102297	88556
268	102592	88100
269	102992	87734
270	103296	87287
271	103634	86869
272	104056	86523
273	104417	86125
274	104797	85743
275	105221	85396
276	105555	84977
277	105929	84591
278	106283	84188
279	106629	83780
280	106959	83359
281	107351	82987
282	107673	82562
283	107970	82118
284	108401	81776
285	108761	81381
286	109053	80935
287	109377	80514
288	109743	80124
289	110146	79761
290	110471	79341
291	110888	78989
292	111307	78637
293	111600	78195
294	111974	77812
295	112338	77422
296	112727	77049
297	113046	76628
298	113397	76230
299	113741	75827
300	114062	75409
301	114420	75017
302	114788	74631
303	115171	74255
